AvgVelocity,Velocity Inlet,Mass,PressureDrop,Surface Area,X Cell Size,YZ Cell Size,,,,,absolute value,,,,,,,,absolute value,,,,
503.7373747,2500,155.8650042,7313.211948,34714.82646,10,10,,,153.994052,0.012003671,0.012003671,,155.6662503,-0.001275167,0.001275167,,36070.71905,0.039058026,0.039058026,,34880.85844,0.00478274,0.00478274
551.6023682,2750,155.8650042,8825.514148,34714.82646,10,10,,,153.994052,0.012003671,0.012003671,,155.6662503,-0.001275167,0.001275167,,36070.71905,0.039058026,0.039058026,,34880.85844,0.00478274,0.00478274
601.3563248,3000,155.8650042,10524.27363,34714.82646,10,10,,,153.994052,0.012003671,0.012003671,,155.6662503,-0.001275167,0.001275167,,36070.71905,0.039058026,0.039058026,,34880.85844,0.00478274,0.00478274
652.2670799,3250,155.8650042,12418.76201,34714.82646,10,10,,,153.994052,0.012003671,0.012003671,,155.6662503,-0.001275167,0.001275167,,36070.71905,0.039058026,0.039058026,,34880.85844,0.00478274,0.00478274
701.7506793,3500,155.8650042,14271.51916,34714.82646,10,10,,,153.994052,0.012003671,0.012003671,,155.6662503,-0.001275167,0.001275167,,36070.71905,0.039058026,0.039058026,,34880.85844,0.00478274,0.00478274
525.220506,2500,144.8624442,7653.516849,31453.78437,10,13.75,,,145.0959105,-0.001611642,0.001611642,,145.0156091,0.001057313,0.001057313,,32004.29806,0.017502304,0.017502304,,31381.13065,-0.002309856,0.002309856
574.8653912,2750,144.8624442,9101.417774,31453.78437,10,13.75,,,145.0959105,-0.001611642,0.001611642,,145.0156091,0.001057313,0.001057313,,32004.29806,0.017502304,0.017502304,,31381.13065,-0.002309856,0.002309856
627.7650503,3000,144.8624442,10953.7776,31453.78437,10,13.75,,,145.0959105,-0.001611642,0.001611642,,145.0156091,0.001057313,0.001057313,,32004.29806,0.017502304,0.017502304,,31381.13065,-0.002309856,0.002309856
680.1888844,3250,144.8624442,12968.55523,31453.78437,10,13.75,,,145.0959105,-0.001611642,0.001611642,,145.0156091,0.001057313,0.001057313,,32004.29806,0.017502304,0.017502304,,31381.13065,-0.002309856,0.002309856
730.0174836,3500,144.8624442,14900.75078,31453.78437,10,13.75,,,145.0959105,-0.001611642,0.001611642,,145.0156091,0.001057313,0.001057313,,32004.29806,0.017502304,0.017502304,,31381.13065,-0.002309856,0.002309856
559.0813988,2500,137.9667214,7826.761894,29272.22167,10,17.5,,,138.7011734,-0.0053234,0.0053234,,138.1367883,0.001232666,0.001232666,,29232.75244,-0.001348351,0.001348351,,29485.47679,0.007285239,0.007285239
614.1390952,2750,137.9667214,9656.312558,29272.22167,10,17.5,,,138.7011734,-0.0053234,0.0053234,,138.1367883,0.001232666,0.001232666,,29232.75244,-0.001348351,0.001348351,,29485.47679,0.007285239,0.007285239
667.6622712,3000,137.9667214,11268.2082,29272.22167,10,17.5,,,138.7011734,-0.0053234,0.0053234,,138.1367883,0.001232666,0.001232666,,29232.75244,-0.001348351,0.001348351,,29485.47679,0.007285239,0.007285239
